date,sp500,fear_greed,vix,spx_above_50ma,spx_above_200ma,fetched_at
2025-05-05,5650.38,,23.64,56.77,44.11,2026-05-11T23:03:42Z
2025-05-06,5606.91,,24.76,53.59,41.32,2026-05-11T23:03:42Z
2025-05-07,5631.28,,23.55,57.37,44.71,2026-05-11T23:03:42Z
2025-05-08,5663.94,,22.48,62.75,45.51,2026-05-11T23:03:42Z
2025-05-09,5659.91,,21.90,64.34,45.11,2026-05-11T23:03:42Z
2025-05-12,5844.19,64.49,18.39,73.90,54.29,2026-05-11T23:03:42Z
2025-05-13,5886.55,68.20,18.22,71.71,54.29,2026-05-11T23:03:42Z
2025-05-14,5892.58,70.40,18.62,66.93,53.29,2026-05-11T23:03:42Z
2025-05-15,5916.93,69.14,17.83,75.90,57.29,2026-05-11T23:03:42Z
2025-05-16,5958.38,70.60,17.24,81.27,60.28,2026-05-11T23:03:42Z
2025-05-19,5963.60,69.74,18.14,81.27,58.88,2026-05-11T23:03:42Z
2025-05-20,5940.46,69.17,18.09,81.27,57.68,2026-05-11T23:03:42Z
2025-05-21,5844.61,66.23,20.87,68.92,51.50,2026-05-11T23:03:42Z
2025-05-22,5842.01,66.80,20.28,65.14,51.10,2026-05-11T23:03:42Z
2025-05-23,5802.82,64.09,22.29,64.34,48.10,2026-05-11T23:03:42Z
2025-05-27,5921.54,65.74,18.96,75.30,54.29,2026-05-11T23:03:42Z
2025-05-28,5888.55,64.74,19.31,68.13,51.30,2026-05-11T23:03:42Z
2025-05-29,5912.17,64.46,19.18,70.12,51.90,2026-05-11T23:03:42Z
2025-05-30,5911.69,61.91,18.57,72.91,52.89,2026-05-11T23:03:42Z
2025-06-02,5935.94,62.43,18.36,71.71,52.50,2026-05-11T23:03:42Z
2025-06-03,5970.37,54.57,17.69,73.90,53.09,2026-05-11T23:03:42Z
2025-06-04,5970.81,54.89,17.61,73.51,52.69,2026-05-11T23:03:42Z
2025-06-05,5939.30,57.97,18.48,70.72,50.70,2026-05-11T23:03:42Z
2025-06-06,6000.36,61.77,16.77,75.30,53.89,2026-05-11T23:03:42Z
2025-06-09,6005.88,63.43,17.16,76.10,53.89,2026-05-11T23:03:42Z
2025-06-10,6038.81,64.00,16.95,79.68,56.09,2026-05-11T23:03:42Z
2025-06-11,6022.24,64.20,17.26,78.29,54.69,2026-05-11T23:03:42Z
2025-06-12,6045.26,64.60,18.02,80.68,55.49,2026-05-11T23:03:42Z
2025-06-13,5976.97,59.54,20.82,74.50,51.70,2026-05-11T23:03:42Z
2025-06-16,6033.11,61.11,19.11,76.49,55.09,2026-05-11T23:03:42Z
2025-06-17,5982.72,57.43,21.60,70.12,51.30,2026-05-11T23:03:42Z
2025-06-18,5980.87,54.29,20.14,67.13,50.50,2026-05-11T23:03:42Z
2025-06-20,5967.84,54.51,20.62,67.93,51.30,2026-05-11T23:03:42Z
2025-06-23,6025.17,56.60,19.83,73.90,54.49,2026-05-11T23:03:42Z
2025-06-24,6092.18,57.89,17.48,77.29,56.49,2026-05-11T23:03:42Z
2025-06-25,6092.16,59.26,16.76,69.52,52.69,2026-05-11T23:03:42Z
2025-06-26,6141.02,63.00,16.59,72.31,56.89,2026-05-11T23:03:42Z
2025-06-27,6173.07,64.80,16.32,73.71,57.88,2026-05-11T23:03:42Z
2025-06-30,6204.95,69.23,16.73,75.90,59.28,2026-05-11T23:03:42Z
2025-07-01,6198.01,67.54,16.83,82.67,63.67,2026-05-11T23:03:42Z
2025-07-02,6227.42,63.71,16.64,78.29,65.07,2026-05-11T23:03:42Z
2025-07-03,6279.35,77.63,16.38,80.68,66.47,2026-05-11T23:03:42Z
2025-07-07,6229.98,75.09,17.79,75.70,63.07,2026-05-11T23:03:42Z
2025-07-08,6225.52,74.63,16.81,75.10,64.27,2026-05-11T23:03:42Z
2025-07-09,6263.26,75.91,15.94,75.10,65.27,2026-05-11T23:03:42Z
2025-07-10,6280.46,76.97,15.78,76.10,66.67,2026-05-11T23:03:42Z
2025-07-11,6259.75,75.26,16.40,70.52,65.27,2026-05-11T23:03:42Z
2025-07-14,6268.56,76.11,17.20,72.91,64.07,2026-05-11T23:03:42Z
2025-07-15,6243.76,73.49,17.38,62.75,59.68,2026-05-11T23:03:42Z
2025-07-16,6263.70,72.94,17.16,65.54,61.88,2026-05-11T23:03:42Z
2025-07-17,6297.36,74.17,16.52,68.73,63.07,2026-05-11T23:03:42Z
2025-07-18,6296.79,73.94,16.41,69.52,63.27,2026-05-11T23:03:42Z
2025-07-21,6305.60,73.29,16.65,65.54,62.67,2026-05-11T23:03:42Z
2025-07-22,6309.62,73.89,16.50,75.30,68.86,2026-05-11T23:03:42Z
2025-07-23,6358.91,76.37,15.37,77.89,70.06,2026-05-11T23:03:42Z
2025-07-24,6363.35,75.26,15.39,73.90,68.66,2026-05-11T23:03:42Z
2025-07-25,6388.64,74.66,14.93,75.90,69.66,2026-05-11T23:03:42Z
2025-07-28,6389.77,73.80,15.03,69.72,66.67,2026-05-11T23:03:42Z
2025-07-29,6370.86,70.63,15.98,69.12,66.87,2026-05-11T23:03:42Z
2025-07-30,6362.90,68.03,15.48,63.35,63.67,2026-05-11T23:03:42Z
2025-07-31,6339.39,63.71,16.72,59.16,60.68,2026-05-11T23:03:42Z
2025-08-01,6238.01,49.80,20.38,51.99,57.88,2026-05-11T23:03:42Z
2025-08-04,6329.94,56.89,17.52,56.57,61.48,2026-05-11T23:03:42Z
2025-08-05,6299.19,55.03,17.85,56.37,59.68,2026-05-11T23:03:42Z
2025-08-06,6345.06,55.31,16.77,53.59,59.08,2026-05-11T23:03:42Z
2025-08-07,6340.00,54.71,16.57,55.98,59.28,2026-05-11T23:03:42Z
2025-08-08,6389.45,58.37,15.15,58.57,60.88,2026-05-11T23:03:42Z
2025-08-11,6373.45,57.63,16.25,56.18,60.08,2026-05-11T23:03:42Z
2025-08-12,6445.76,62.26,14.73,62.15,62.87,2026-05-11T23:03:42Z
2025-08-13,6466.58,63.34,14.49,67.13,68.26,2026-05-11T23:03:42Z
2025-08-14,6468.54,63.26,14.83,63.55,65.27,2026-05-11T23:03:42Z
2025-08-15,6449.80,63.54,15.09,60.76,64.27,2026-05-11T23:03:42Z
2025-08-18,6449.15,64.20,14.99,60.56,63.47,2026-05-11T23:03:42Z
2025-08-19,6411.37,59.89,15.57,65.34,66.87,2026-05-11T23:03:42Z
2025-08-20,6395.78,55.91,15.69,65.34,66.87,2026-05-11T23:03:42Z
2025-08-21,6370.17,52.60,16.60,62.75,66.27,2026-05-11T23:03:42Z
2025-08-22,6466.91,55.54,14.22,73.11,72.46,2026-05-11T23:03:42Z
2025-08-25,6439.32,53.94,14.79,66.53,68.86,2026-05-11T23:03:42Z
2025-08-26,6465.94,55.40,14.62,66.14,69.26,2026-05-11T23:03:42Z
2025-08-27,6481.40,59.11,14.85,67.53,69.86,2026-05-11T23:03:42Z
2025-08-28,6501.86,64.43,14.43,66.14,69.06,2026-05-11T23:03:42Z
2025-08-29,6460.26,61.54,15.36,65.54,69.26,2026-05-11T23:03:42Z
2025-09-02,6415.54,62.46,17.17,59.36,67.66,2026-05-11T23:03:42Z
2025-09-03,6448.26,61.37,16.35,58.37,67.27,2026-05-11T23:03:42Z
2025-09-04,6502.08,61.17,15.30,60.76,68.86,2026-05-11T23:03:42Z
2025-09-05,6481.50,58.69,15.18,60.76,68.86,2026-05-11T23:03:42Z
2025-09-08,6495.15,58.23,15.11,61.16,67.27,2026-05-11T23:03:42Z
2025-09-09,6512.61,57.94,15.04,59.56,65.87,2026-05-11T23:03:42Z
2025-09-10,6532.04,57.94,15.35,57.77,65.27,2026-05-11T23:03:42Z
2025-09-11,6587.47,60.34,14.71,66.14,70.06,2026-05-11T23:03:42Z
2025-09-12,6584.29,61.34,14.76,62.55,68.06,2026-05-11T23:03:42Z
2025-09-15,6615.28,64.46,15.69,57.97,65.67,2026-05-11T23:03:42Z
2025-09-16,6606.76,64.37,16.36,53.98,65.07,2026-05-11T23:03:42Z
2025-09-17,6600.35,63.77,15.72,56.57,64.87,2026-05-11T23:03:42Z
2025-09-18,6631.96,66.54,15.70,58.76,65.07,2026-05-11T23:03:42Z
2025-09-19,6664.36,66.23,15.45,59.16,65.07,2026-05-11T23:03:42Z
2025-09-22,6693.75,66.51,16.10,56.77,65.47,2026-05-11T23:03:42Z
2025-09-23,6656.92,56.77,16.64,59.76,65.47,2026-05-11T23:03:42Z
2025-09-24,6637.97,54.57,16.18,55.98,65.27,2026-05-11T23:03:42Z
2025-09-25,6604.72,50.66,16.74,51.59,63.27,2026-05-11T23:03:42Z
2025-09-26,6643.70,51.29,15.29,57.57,65.47,2026-05-11T23:03:42Z
2025-09-29,6661.21,50.97,16.12,57.57,66.47,2026-05-11T23:03:42Z
2025-09-30,6688.46,51.40,16.28,59.96,67.47,2026-05-11T23:03:42Z
2025-10-01,6711.20,52.49,16.29,58.76,68.06,2026-05-11T23:03:42Z
2025-10-02,6715.35,54.54,16.63,58.37,67.47,2026-05-11T23:03:42Z
2025-10-03,6715.79,52.57,16.65,61.95,68.26,2026-05-11T23:03:42Z
2025-10-06,6740.28,53.97,16.37,59.56,67.07,2026-05-11T23:03:42Z
2025-10-07,6714.59,51.86,17.24,56.97,67.07,2026-05-11T23:03:42Z
2025-10-08,6753.72,52.94,16.30,56.97,66.47,2026-05-11T23:03:42Z
2025-10-09,6735.11,48.63,16.43,51.79,65.07,2026-05-11T23:03:42Z
2025-10-10,6552.51,30.14,21.66,38.65,57.88,2026-05-11T23:03:42Z
2025-10-13,6654.72,29.74,19.03,44.02,61.88,2026-05-11T23:03:42Z
2025-10-14,6644.31,28.29,20.81,50.40,65.27,2026-05-11T23:03:42Z
2025-10-15,6671.06,27.41,20.64,50.40,63.67,2026-05-11T23:03:42Z
2025-10-16,6629.07,23.11,25.31,41.43,60.08,2026-05-11T23:03:42Z
2025-10-17,6664.01,22.33,20.78,45.82,62.28,2026-05-11T23:03:42Z
2025-10-20,6735.13,29.86,18.23,53.39,65.07,2026-05-11T23:03:42Z
2025-10-21,6735.35,28.54,17.87,54.98,66.67,2026-05-11T23:03:42Z
2025-10-22,6699.40,26.37,18.60,51.39,66.67,2026-05-11T23:03:42Z
2025-10-23,6738.44,27.57,17.30,52.99,67.47,2026-05-11T23:03:42Z
2025-10-24,6791.69,32.46,16.37,53.78,65.67,2026-05-11T23:03:42Z
2025-10-27,6875.16,37.34,15.79,57.77,65.67,2026-05-11T23:03:42Z
2025-10-28,6890.89,39.34,16.42,49.00,62.87,2026-05-11T23:03:42Z
2025-10-29,6890.59,42.11,16.92,43.03,56.89,2026-05-11T23:03:42Z
2025-10-30,6822.34,37.06,16.91,42.43,56.89,2026-05-11T23:03:42Z
2025-10-31,6840.20,34.46,17.44,42.03,57.09,2026-05-11T23:03:42Z
2025-11-03,6851.97,32.60,17.17,40.04,56.29,2026-05-11T23:03:42Z
2025-11-04,6771.55,20.94,19.00,40.04,56.89,2026-05-11T23:03:42Z
2025-11-05,6796.29,23.06,18.01,41.24,56.09,2026-05-11T23:03:42Z
2025-11-06,6720.32,24.34,19.50,39.44,53.89,2026-05-11T23:03:42Z
2025-11-07,6728.80,20.43,19.08,44.82,57.09,2026-05-11T23:03:42Z
2025-11-10,6832.43,29.94,17.60,47.21,57.68,2026-05-11T23:03:42Z
2025-11-11,6846.61,30.46,17.28,51.00,60.48,2026-05-11T23:03:42Z
2025-11-12,6850.92,34.57,17.51,53.09,60.40,2026-05-11T23:03:42Z
2025-11-13,6737.49,24.54,20.00,45.71,59.40,2026-05-11T23:03:42Z
2025-11-14,6734.11,22.06,19.83,44.31,59.40,2026-05-11T23:03:42Z
2025-11-17,6672.41,11.64,22.38,38.12,55.20,2026-05-11T23:03:42Z
2025-11-18,6617.32,8.90,24.69,38.92,56.00,2026-05-11T23:03:42Z
2025-11-19,6642.16,7.86,23.66,36.93,54.80,2026-05-11T23:03:42Z
2025-11-20,6538.76,5.17,26.42,32.53,51.80,2026-05-11T23:03:42Z
2025-11-21,6602.99,5.66,23.43,41.92,56.80,2026-05-11T23:03:42Z
2025-11-24,6705.12,13.69,20.52,43.31,56.80,2026-05-11T23:03:42Z
2025-11-25,6765.88,15.03,18.56,53.29,61.00,2026-05-11T23:03:42Z
2025-11-26,6812.61,17.66,17.19,57.88,61.40,2026-05-11T23:03:42Z
2025-11-28,6849.09,21.77,16.35,61.28,62.48,2026-05-11T23:03:42Z
2025-12-01,6812.63,22.09,17.24,53.89,61.08,2026-05-11T23:03:42Z
2025-12-02,6829.37,23.26,16.59,52.69,59.48,2026-05-11T23:03:42Z
2025-12-03,6849.72,24.77,16.08,55.29,62.28,2026-05-11T23:03:42Z
2025-12-04,6857.12,36.03,15.78,56.89,61.68,2026-05-11T23:03:42Z
2025-12-05,6870.40,38.14,15.41,56.09,63.47,2026-05-11T23:03:42Z
2025-12-08,6846.51,40.77,16.66,50.70,60.68,2026-05-11T23:03:42Z
2025-12-09,6840.51,40.94,16.93,48.70,59.28,2026-05-11T23:03:42Z
2025-12-10,6886.68,36.37,15.77,55.49,60.88,2026-05-11T23:03:42Z
2025-12-11,6901.00,43.74,14.85,61.08,64.27,2026-05-11T23:03:42Z
2025-12-12,6827.41,39.29,15.74,59.68,64.27,2026-05-11T23:03:42Z
2025-12-15,6816.51,49.31,16.50,61.88,64.27,2026-05-11T23:03:42Z
2025-12-16,6800.26,46.40,16.48,57.88,62.67,2026-05-11T23:03:42Z
2025-12-17,6721.43,37.69,17.62,60.08,62.67,2026-05-11T23:03:42Z
2025-12-18,6774.76,42.37,16.87,58.48,63.27,2026-05-11T23:03:42Z
2025-12-19,6834.50,44.20,14.91,58.08,61.68,2026-05-11T23:03:42Z
2025-12-22,6878.49,54.89,14.08,62.48,63.47,2026-05-11T23:03:42Z
2025-12-23,6909.79,58.57,14.00,62.48,62.48,2026-05-11T23:03:42Z
2025-12-24,6932.05,58.00,13.47,63.07,63.67,2026-05-11T23:03:42Z
2025-12-26,6929.94,54.86,13.60,63.67,63.67,2026-05-11T23:03:42Z
2025-12-29,6905.74,47.89,14.20,65.47,64.27,2026-05-11T23:03:42Z
2025-12-30,6896.24,46.11,14.33,63.07,64.27,2026-05-11T23:03:42Z
2025-12-31,6845.50,43.26,14.95,57.49,60.88,2026-05-11T23:03:42Z
2026-01-02,6858.47,45.23,14.51,60.48,61.48,2026-05-11T23:03:42Z
2026-01-05,6902.05,47.60,14.90,63.47,63.07,2026-05-11T23:03:42Z
2026-01-06,6944.82,52.86,14.75,68.26,65.47,2026-05-11T23:03:42Z
2026-01-07,6920.93,48.57,15.38,63.35,62.67,2026-05-11T23:03:42Z
2026-01-08,6921.46,48.37,15.45,71.12,66.07,2026-05-11T23:03:42Z
2026-01-09,6966.28,54.11,14.49,72.31,68.26,2026-05-11T23:03:42Z
2026-01-12,6977.27,58.00,15.12,71.31,67.66,2026-05-11T23:03:42Z
2026-01-13,6963.74,59.09,15.98,68.53,67.07,2026-05-11T23:03:42Z
2026-01-14,6926.60,58.63,16.75,72.71,69.66,2026-05-11T23:03:42Z
2026-01-15,6944.47,63.66,15.84,73.71,71.26,2026-05-11T23:03:42Z
2026-01-16,6940.01,63.77,15.86,72.71,69.86,2026-05-11T23:03:42Z
2026-01-20,6796.86,50.86,20.09,64.34,66.07,2026-05-11T23:03:42Z
2026-01-21,6875.62,53.86,16.90,70.32,69.86,2026-05-11T23:03:42Z
2026-01-22,6913.35,54.77,15.64,69.72,69.66,2026-05-11T23:03:42Z
2026-01-23,6915.61,54.89,16.09,67.73,69.46,2026-05-11T23:03:42Z
2026-01-26,6950.23,57.66,16.15,70.32,69.86,2026-05-11T23:03:42Z
2026-01-27,6978.60,64.97,16.35,67.20,68.26,2026-05-11T23:03:42Z
2026-01-28,6978.03,65.54,16.35,62.62,67.66,2026-05-11T23:03:42Z
2026-01-29,6969.01,63.83,16.88,64.61,67.86,2026-05-11T23:03:42Z
2026-01-30,6939.03,58.60,17.44,67.20,67.86,2026-05-11T23:03:42Z
2026-02-02,6976.44,63.40,16.34,67.00,66.47,2026-05-11T23:03:42Z
2026-02-03,6917.81,43.34,18.00,63.22,65.87,2026-05-11T23:03:42Z
2026-02-04,6882.72,47.23,18.64,68.19,69.66,2026-05-11T23:03:42Z
2026-02-05,6798.40,34.94,21.77,65.41,68.06,2026-05-11T23:03:42Z
2026-02-06,6932.30,45.37,20.37,68.99,69.26,2026-05-11T23:03:42Z
2026-02-09,6964.82,48.49,17.36,68.19,69.46,2026-05-11T23:03:42Z
2026-02-10,6941.81,47.23,17.79,68.59,69.66,2026-05-11T23:03:42Z
2026-02-11,6941.47,49.91,17.65,67.20,69.86,2026-05-11T23:03:42Z
2026-02-12,6832.76,36.36,20.82,62.03,66.67,2026-05-11T23:03:42Z
2026-02-13,6836.17,33.84,20.60,63.42,67.47,2026-05-11T23:03:42Z
2026-02-17,6843.22,33.31,20.29,65.01,66.27,2026-05-11T23:03:42Z
2026-02-18,6881.31,34.16,19.62,66.80,68.46,2026-05-11T23:03:42Z
2026-02-19,6861.89,34.40,20.23,64.02,67.07,2026-05-11T23:03:42Z
2026-02-20,6909.51,42.34,19.09,65.81,67.86,2026-05-11T23:03:42Z
2026-02-23,6837.75,32.54,21.01,61.63,66.47,2026-05-11T23:03:42Z
2026-02-24,6890.07,40.26,19.55,62.23,66.87,2026-05-11T23:03:42Z
2026-02-25,6946.13,43.14,17.93,62.82,65.87,2026-05-11T23:03:42Z
2026-02-26,6908.86,42.91,18.63,66.00,67.66,2026-05-11T23:03:42Z
2026-02-27,6878.88,41.17,19.86,63.02,68.06,2026-05-11T23:03:42Z
2026-03-02,6881.62,34.29,21.44,61.83,67.86,2026-05-11T23:03:42Z
2026-03-03,6816.63,31.63,23.57,56.86,63.67,2026-05-11T23:03:42Z
2026-03-04,6869.50,33.07,21.15,58.45,63.27,2026-05-11T23:03:42Z
2026-03-05,6830.71,31.63,23.75,52.09,60.88,2026-05-11T23:03:42Z
2026-03-06,6740.02,25.26,29.49,44.93,57.68,2026-05-11T23:03:42Z
2026-03-09,6795.99,22.23,25.50,44.53,58.08,2026-05-11T23:03:42Z
2026-03-10,6781.48,20.27,24.93,41.55,55.29,2026-05-11T23:03:42Z
2026-03-11,6775.80,18.31,24.23,39.17,54.09,2026-05-11T23:03:42Z
2026-03-12,6672.62,,27.29,32.21,51.10,2026-05-11T23:03:42Z
2026-03-13,6632.19,16.67,27.19,32.41,50.50,2026-05-11T23:03:42Z
2026-03-16,6699.38,23.91,23.51,34.00,52.10,2026-05-11T23:03:42Z
2026-03-17,6716.09,22.89,22.37,35.19,51.90,2026-05-11T23:03:42Z
2026-03-18,6624.70,13.61,25.09,29.62,49.30,2026-05-11T23:03:42Z
2026-03-19,6606.49,18.31,24.06,28.23,48.90,2026-05-11T23:03:42Z
2026-03-20,6506.48,8.40,26.78,20.48,45.91,2026-05-11T23:03:42Z
2026-03-23,6581.00,11.63,26.15,24.45,48.90,2026-05-11T23:03:42Z
2026-03-24,6556.37,10.36,26.95,25.25,49.10,2026-05-11T23:03:42Z
2026-03-25,6591.90,16.54,25.33,27.63,49.10,2026-05-11T23:03:42Z
2026-03-26,6477.16,10.26,27.44,22.66,47.90,2026-05-11T23:03:42Z
2026-03-27,6368.85,8.17,31.05,19.88,44.11,2026-05-11T23:03:42Z
2026-03-30,6343.72,5.77,30.61,20.08,44.91,2026-05-11T23:03:42Z
2026-03-31,6528.52,14.89,25.25,24.45,48.70,2026-05-11T23:03:42Z
2026-04-01,6575.32,15.86,24.54,27.44,49.10,2026-05-11T23:03:42Z
2026-04-02,6582.69,18.29,23.87,30.42,49.30,2026-05-11T23:03:42Z
2026-04-06,6611.83,21.86,24.17,33.80,49.10,2026-05-11T23:03:42Z
2026-04-07,6616.85,21.57,25.78,30.42,49.70,2026-05-11T23:03:42Z
2026-04-08,6782.81,29.17,21.04,49.11,55.69,2026-05-11T23:03:42Z
2026-04-09,6824.66,33.80,19.49,50.10,57.09,2026-05-11T23:03:42Z
2026-04-10,6816.89,38.06,19.23,44.53,53.89,2026-05-11T23:03:42Z
2026-04-13,6886.24,40.97,19.12,50.30,56.89,2026-05-11T23:03:42Z
2026-04-14,6967.38,47.26,18.36,53.88,57.68,2026-05-11T23:03:42Z
2026-04-15,7022.95,56.20,18.17,52.29,56.29,2026-05-11T23:03:42Z
2026-04-16,7041.28,61.49,17.94,53.08,56.49,2026-05-11T23:03:42Z
2026-04-17,7126.06,68.57,17.48,61.03,61.68,2026-05-11T23:03:42Z
2026-04-20,7109.14,69.97,18.87,62.23,60.68,2026-05-11T23:03:42Z
2026-04-21,7064.01,67.57,19.50,57.85,58.08,2026-05-11T23:03:42Z
2026-04-22,7137.90,68.46,18.92,55.07,58.28,2026-05-11T23:03:42Z
2026-04-23,7108.40,66.17,19.31,55.47,58.48,2026-05-11T23:03:42Z
2026-04-24,7165.08,65.40,18.71,52.88,57.09,2026-05-11T23:03:42Z
2026-04-27,7173.91,66.29,18.02,51.69,56.89,2026-05-11T23:03:42Z
2026-04-28,7138.80,67.43,17.83,52.49,57.49,2026-05-11T23:03:42Z
2026-04-29,7135.95,66.23,18.81,49.70,56.29,2026-05-11T23:03:42Z
2026-04-30,7209.01,69.51,16.89,55.86,58.28,2026-05-11T23:03:42Z
2026-05-01,7230.12,71.17,16.99,54.87,58.08,2026-05-11T23:03:42Z
2026-05-04,7200.75,66.89,18.29,51.69,55.29,2026-05-11T23:03:42Z
2026-05-05,7259.22,67.26,17.38,53.28,55.89,2026-05-11T23:03:42Z
2026-05-06,7365.12,68.74,17.39,55.86,57.88,2026-05-11T23:03:42Z
2026-05-07,7337.11,66.40,17.08,53.48,57.09,2026-05-11T23:03:42Z
2026-05-08,7398.93,66.69,17.19,52.09,55.89,2026-05-11T23:03:42Z
2026-05-11,7412.84,66.97,18.38,50.10,54.98,2026-05-11T23:54:04Z
2026-05-12,7400.96,66.60,17.99,51.09,55.78,2026-05-12T23:56:11Z
2026-05-13,7444.25,65.86,17.87,45.92,54.78,2026-05-13T23:52:43Z
2026-05-14,7501.24,66.14,17.26,47.12,55.38,2026-05-14T23:53:26Z
2026-05-15,7408.50,62.91,18.43,44.73,52.39,2026-05-15T23:52:20Z
2026-05-18,7403.05,62.80,17.82,51.49,55.98,2026-05-18T22:59:23Z
2026-05-19,7403.05,62.80,17.82,51.49,55.98,2026-05-19T00:02:05Z
